electricity_kwh,renewable_pct,gas_m3,car_km,public_transport_km,short_haul_flights,long_haul_flights,vehicle_factor,diet_value,food_waste_mult,shopping_value,clothing_items,streaming_hours,carbon_footprint
285.0,58.0,30.0,346.0,540.0,0.0,3.0,0.1,1.5,0.9,0.3,50.0,0.0,6.4
429.0,59.0,103.0,2410.0,394.0,5.0,1.0,0.192,3.3,1.0,1.1,53.0,10.0,15.61
851.0,54.0,8.0,544.0,890.0,1.0,1.0,0.1,1.7,1.0,1.1,57.0,5.0,7.99
282.0,4.0,1.0,2778.0,524.0,6.0,0.0,0.05,1.5,1.15,0.3,3.0,5.0,6.35
925.0,69.0,19.0,2531.0,801.0,6.0,1.0,0.171,3.3,0.9,1.5,35.0,10.0,14.31
628.0,64.0,123.0,2217.0,134.0,5.0,2.0,0.192,1.7,1.0,1.5,52.0,10.0,14.92
463.0,79.0,77.0,1919.0,250.0,1.0,0.0,0.192,1.5,1.0,0.72,10.0,5.0,9.19
604.0,23.0,67.0,1515.0,366.0,5.0,1.0,0.05,1.9,1.0,0.3,41.0,3.0,8.89
297.0,80.0,190.0,2749.0,855.0,3.0,3.0,0.192,1.7,1.0,1.1,58.0,11.0,17.38
489.0,65.0,40.0,1659.0,533.0,5.0,3.0,0.171,1.5,0.9,0.3,44.0,0.0,10.42
202.0,60.0,139.0,2583.0,919.0,0.0,4.0,0.1,2.5,1.0,0.3,37.0,9.0,13.0
581.0,8.0,105.0,2170.0,137.0,6.0,4.0,0.171,1.5,1.15,0.72,36.0,5.0,15.39
783.0,100.0,159.0,2839.0,90.0,1.0,3.0,0.171,1.9,0.9,0.3,31.0,8.0,13.69
167.0,17.0,25.0,23.0,573.0,3.0,2.0,0.1,2.5,1.0,1.1,46.0,11.0,7.96
800.0,52.0,98.0,1799.0,139.0,6.0,4.0,0.05,1.5,1.15,0.3,43.0,1.0,10.89
488.0,66.0,146.0,2765.0,775.0,1.0,3.0,0.1,2.5,1.0,1.1,54.0,10.0,14.3
763.0,64.0,54.0,1092.0,532.0,2.0,1.0,0.192,1.5,1.15,0.3,5.0,12.0,8.41
555.0,44.0,148.0,383.0,730.0,1.0,2.0,0.05,3.3,1.15,0.72,47.0,7.0,11.93
479.0,14.0,75.0,2960.0,4.0,5.0,4.0,0.192,3.3,1.0,0.3,16.0,11.0,17.28
878.0,64.0,24.0,1434.0,588.0,0.0,3.0,0.0,1.9,0.9,0.3,27.0,9.0,6.81
826.0,43.0,59.0,1376.0,315.0,3.0,0.0,0.171,1.7,1.0,1.5,45.0,10.0,10.95
545.0,11.0,78.0,132.0,880.0,4.0,1.0,0.171,2.5,1.15,0.3,6.0,8.0,9.2
1000.0,2.0,133.0,1951.0,623.0,0.0,3.0,0.0,3.3,1.15,0.3,15.0,3.0,13.44
453.0,14.0,171.0,2425.0,198.0,0.0,4.0,0.192,1.7,1.0,1.5,2.0,0.0,16.31
5.0,15.0,10.0,1818.0,981.0,5.0,4.0,0.171,1.7,0.9,1.5,14.0,0.0,11.22
669.0,80.0,194.0,360.0,772.0,5.0,3.0,0.171,3.3,1.15,0.72,2.0,5.0,12.88
201.0,11.0,25.0,1514.0,540.0,5.0,2.0,0.192,2.5,0.9,1.5,27.0,2.0,11.45
814.0,74.0,10.0,47.0,271.0,0.0,3.0,0.0,1.9,1.15,1.1,37.0,6.0,7.25
54.0,7.0,123.0,127.0,219.0,6.0,2.0,0.0,2.5,1.0,0.3,22.0,1.0,8.11
771.0,18.0,75.0,1776.0,459.0,3.0,3.0,0.171,1.7,1.0,1.5,34.0,5.0,14.36
145.0,25.0,190.0,904.0,418.0,4.0,2.0,0.1,2.5,0.9,1.1,27.0,12.0,11.47
158.0,14.0,92.0,2073.0,404.0,6.0,2.0,0.1,1.5,0.9,1.5,8.0,12.0,10.52
278.0,9.0,61.0,1284.0,786.0,4.0,2.0,0.192,2.5,1.15,0.72,9.0,5.0,11.53
840.0,21.0,190.0,1805.0,317.0,6.0,0.0,0.1,1.7,1.0,0.72,28.0,1.0,12.77
225.0,9.0,115.0,1697.0,590.0,4.0,2.0,0.05,2.5,1.0,1.1,37.0,4.0,10.8
246.0,79.0,68.0,591.0,431.0,3.0,3.0,0.1,1.9,1.0,1.5,31.0,10.0,9.06
737.0,56.0,178.0,2764.0,851.0,3.0,3.0,0.0,1.9,0.9,1.5,15.0,4.0,11.33
519.0,84.0,77.0,125.0,115.0,0.0,0.0,0.1,3.3,1.15,1.5,3.0,1.0,7.45
280.0,57.0,67.0,519.0,731.0,2.0,0.0,0.1,2.5,1.15,0.3,26.0,10.0,7.23
706.0,86.0,83.0,2128.0,153.0,1.0,3.0,0.05,2.5,0.9,1.1,22.0,6.0,9.28
959.0,7.0,200.0,2317.0,424.0,2.0,3.0,0.1,2.5,0.9,1.1,45.0,5.0,17.18
926.0,64.0,67.0,2025.0,209.0,5.0,2.0,0.0,1.9,0.9,1.1,10.0,5.0,7.93
837.0,92.0,198.0,1668.0,200.0,5.0,4.0,0.171,3.3,1.0,0.3,30.0,5.0,15.12
843.0,39.0,66.0,2507.0,756.0,0.0,2.0,0.0,1.9,1.0,1.5,9.0,3.0,8.91
181.0,24.0,182.0,133.0,632.0,1.0,0.0,0.171,1.7,0.9,0.72,60.0,7.0,8.61
723.0,49.0,2.0,806.0,243.0,5.0,4.0,0.0,3.3,1.0,1.1,39.0,5.0,10.22
670.0,80.0,153.0,174.0,725.0,2.0,3.0,0.192,1.9,1.15,0.72,56.0,10.0,10.83
331.0,48.0,106.0,2068.0,852.0,2.0,2.0,0.192,1.9,1.15,0.72,35.0,1.0,13.36
851.0,38.0,68.0,1496.0,848.0,3.0,2.0,0.1,1.5,0.9,0.72,60.0,11.0,11.17
629.0,63.0,78.0,25.0,339.0,2.0,0.0,0.0,1.7,0.9,1.1,56.0,8.0,6.97
448.0,42.0,61.0,1796.0,567.0,0.0,2.0,0.0,1.7,0.9,1.1,32.0,8.0,7.37
714.0,99.0,161.0,2637.0,477.0,6.0,3.0,0.192,2.5,1.15,1.1,43.0,3.0,17.2
964.0,62.0,157.0,2601.0,74.0,0.0,2.0,0.1,2.5,1.15,0.72,39.0,7.0,13.45
962.0,66.0,83.0,321.0,985.0,1.0,1.0,0.171,3.3,1.15,1.5,45.0,8.0,11.56
346.0,0.0,24.0,122.0,508.0,5.0,4.0,0.05,1.9,1.15,1.5,52.0,6.0,10.4
325.0,98.0,48.0,222.0,794.0,4.0,0.0,0.1,1.7,1.0,1.1,48.0,3.0,6.3
925.0,44.0,165.0,110.0,55.0,2.0,4.0,0.05,1.5,1.0,0.3,56.0,8.0,11.23
763.0,72.0,132.0,24.0,866.0,5.0,3.0,0.192,1.7,1.15,0.72,2.0,11.0,9.69
234.0,10.0,125.0,2575.0,444.0,0.0,4.0,0.05,1.9,0.9,1.1,32.0,0.0,11.05
760.0,40.0,140.0,1832.0,672.0,1.0,1.0,0.171,1.9,1.15,1.1,21.0,10.0,13.57
854.0,91.0,60.0,1771.0,449.0,2.0,0.0,0.192,1.7,1.0,1.5,52.0,2.0,10.51
680.0,8.0,135.0,1349.0,718.0,2.0,4.0,0.05,1.9,1.15,1.1,18.0,10.0,13.17
408.0,53.0,27.0,1725.0,186.0,6.0,4.0,0.0,2.5,1.15,1.1,3.0,5.0,8.92
496.0,92.0,44.0,1032.0,134.0,0.0,1.0,0.1,1.5,0.9,0.72,12.0,7.0,5.41
17.0,30.0,91.0,1904.0,881.0,2.0,2.0,0.171,1.9,1.15,1.5,58.0,9.0,12.97
503.0,54.0,197.0,1040.0,897.0,2.0,1.0,0.05,1.9,0.9,1.5,55.0,3.0,11.4
530.0,99.0,149.0,1772.0,620.0,4.0,0.0,0.05,1.7,1.15,0.3,18.0,4.0,7.75
177.0,15.0,69.0,4.0,283.0,0.0,2.0,0.171,1.7,1.15,1.1,47.0,8.0,7.56
438.0,86.0,95.0,2985.0,589.0,4.0,1.0,0.171,3.3,1.15,1.5,16.0,10.0,15.71
470.0,18.0,34.0,958.0,101.0,2.0,3.0,0.1,1.7,1.15,1.5,31.0,12.0,9.91
433.0,14.0,7.0,2880.0,739.0,0.0,1.0,0.171,1.5,0.9,0.3,34.0,0.0,11.16
985.0,45.0,53.0,2371.0,312.0,0.0,0.0,0.1,3.3,0.9,1.1,23.0,10.0,11.13
60.0,90.0,140.0,621.0,978.0,2.0,2.0,0.1,1.7,0.9,0.72,9.0,0.0,8.21
290.0,11.0,83.0,487.0,1.0,0.0,2.0,0.171,1.7,1.0,0.3,20.0,5.0,7.38
431.0,55.0,156.0,2524.0,530.0,1.0,1.0,0.1,1.7,1.0,0.3,55.0,6.0,11.25
864.0,69.0,67.0,2232.0,331.0,1.0,4.0,0.05,1.9,0.9,0.72,28.0,11.0,9.79
712.0,19.0,30.0,142.0,319.0,0.0,0.0,0.192,3.3,0.9,0.3,56.0,2.0,8.03
817.0,3.0,30.0,2119.0,620.0,3.0,1.0,0.0,1.5,1.0,0.3,36.0,8.0,8.15
850.0,49.0,0.0,2560.0,533.0,4.0,2.0,0.05,1.5,1.15,1.5,60.0,11.0,10.24
291.0,25.0,49.0,1671.0,454.0,6.0,3.0,0.171,3.3,1.15,0.3,22.0,9.0,13.08
813.0,14.0,63.0,2398.0,113.0,4.0,1.0,0.1,1.7,1.0,0.72,38.0,4.0,11.58
824.0,7.0,173.0,2208.0,346.0,2.0,0.0,0.0,2.5,0.9,1.1,44.0,10.0,11.56
708.0,30.0,148.0,951.0,124.0,6.0,0.0,0.171,1.9,0.9,0.3,47.0,1.0,10.85
670.0,70.0,12.0,2383.0,507.0,0.0,4.0,0.0,1.7,0.9,1.5,1.0,7.0,7.09
994.0,58.0,117.0,380.0,573.0,6.0,0.0,0.05,3.3,1.0,1.1,10.0,8.0,10.37
182.0,27.0,145.0,1341.0,595.0,0.0,1.0,0.0,1.7,1.0,1.5,51.0,2.0,8.7
18.0,5.0,119.0,694.0,848.0,6.0,4.0,0.0,1.7,1.0,1.1,11.0,7.0,9.53
525.0,40.0,151.0,1598.0,726.0,5.0,2.0,0.192,1.7,1.15,1.1,59.0,1.0,14.71
419.0,93.0,103.0,37.0,35.0,5.0,1.0,0.171,1.9,1.0,0.72,57.0,1.0,7.34
772.0,89.0,132.0,480.0,683.0,3.0,0.0,0.05,1.7,1.15,0.72,10.0,8.0,7.23
199.0,92.0,172.0,2738.0,244.0,1.0,1.0,0.171,1.9,1.15,1.1,39.0,11.0,14.22
646.0,38.0,83.0,266.0,742.0,4.0,3.0,0.1,1.9,1.15,1.5,34.0,5.0,11.08
104.0,78.0,181.0,2597.0,862.0,5.0,2.0,0.192,1.5,0.9,0.3,26.0,9.0,14.58
456.0,2.0,42.0,2965.0,377.0,5.0,3.0,0.171,3.3,1.15,1.1,24.0,8.0,17.16
319.0,35.0,122.0,1743.0,385.0,2.0,0.0,0.1,2.5,1.0,1.5,30.0,6.0,10.64
67.0,19.0,67.0,1088.0,394.0,5.0,0.0,0.05,1.7,0.9,0.72,41.0,0.0,6.31
339.0,2.0,191.0,731.0,198.0,0.0,2.0,0.192,2.5,1.0,1.5,20.0,3.0,12.57
478.0,20.0,196.0,1437.0,522.0,0.0,2.0,0.0,1.9,0.9,0.3,2.0,0.0,9.06
481.0,9.0,192.0,1958.0,674.0,3.0,4.0,0.05,1.5,0.9,0.72,8.0,3.0,12.4
312.0,77.0,60.0,2318.0,902.0,0.0,4.0,0.171,2.5,1.15,0.72,58.0,7.0,14.26
71.0,41.0,27.0,913.0,222.0,3.0,2.0,0.171,1.5,1.15,1.5,45.0,8.0,8.68
402.0,54.0,104.0,245.0,253.0,3.0,0.0,0.0,1.5,1.15,0.72,35.0,6.0,6.69
735.0,74.0,59.0,1114.0,836.0,2.0,0.0,0.171,2.5,0.9,1.5,2.0,2.0,9.06
603.0,95.0,82.0,698.0,897.0,5.0,0.0,0.0,1.7,0.9,0.3,51.0,8.0,6.21
179.0,65.0,83.0,1350.0,185.0,1.0,4.0,0.0,2.5,0.9,1.5,35.0,11.0,9.24
747.0,34.0,107.0,2160.0,248.0,2.0,1.0,0.1,1.7,0.9,0.3,57.0,0.0,10.8
888.0,0.0,156.0,1553.0,282.0,3.0,2.0,0.05,1.9,1.0,1.1,50.0,5.0,13.64
361.0,13.0,72.0,547.0,953.0,0.0,2.0,0.0,3.3,1.15,0.3,9.0,4.0,9.05
554.0,96.0,41.0,759.0,875.0,0.0,1.0,0.0,1.5,0.9,1.5,0.0,4.0,5.14
916.0,61.0,14.0,2913.0,400.0,3.0,2.0,0.1,2.5,0.9,1.5,60.0,1.0,12.22
819.0,82.0,149.0,1406.0,840.0,1.0,4.0,0.05,3.3,1.15,0.72,34.0,0.0,12.77
932.0,34.0,11.0,1973.0,623.0,0.0,3.0,0.192,2.5,1.15,1.5,12.0,2.0,14.32
924.0,53.0,88.0,1917.0,754.0,0.0,2.0,0.05,3.3,0.9,0.72,53.0,0.0,11.24
397.0,46.0,160.0,1302.0,152.0,5.0,3.0,0.0,1.9,1.0,0.3,56.0,8.0,10.13
319.0,41.0,145.0,1383.0,303.0,4.0,3.0,0.192,1.9,0.9,0.72,37.0,12.0,12.82
526.0,34.0,111.0,272.0,678.0,6.0,4.0,0.0,1.9,0.9,1.5,27.0,3.0,11.27
893.0,75.0,150.0,2976.0,453.0,3.0,3.0,0.05,2.5,0.9,0.72,22.0,12.0,11.89
715.0,36.0,147.0,1183.0,403.0,6.0,2.0,0.192,1.5,1.15,1.1,31.0,9.0,13.52
907.0,33.0,84.0,1941.0,403.0,2.0,3.0,0.0,1.9,1.0,0.72,15.0,1.0,9.55
828.0,9.0,65.0,394.0,656.0,5.0,3.0,0.192,1.7,0.9,1.5,19.0,10.0,12.03
198.0,16.0,156.0,2582.0,751.0,1.0,4.0,0.171,2.5,0.9,0.3,53.0,3.0,15.84
766.0,14.0,56.0,843.0,675.0,6.0,4.0,0.05,2.5,0.9,1.5,33.0,7.0,12.76
702.0,77.0,191.0,1830.0,746.0,1.0,1.0,0.1,2.5,0.9,0.72,43.0,12.0,11.99
520.0,40.0,88.0,1633.0,23.0,3.0,2.0,0.192,2.5,1.15,1.5,37.0,4.0,13.63
444.0,17.0,188.0,2562.0,328.0,2.0,4.0,0.171,1.9,1.15,0.72,27.0,8.0,16.99
813.0,33.0,162.0,1208.0,913.0,6.0,4.0,0.05,1.7,1.15,1.5,59.0,0.0,14.82
745.0,100.0,153.0,2288.0,105.0,3.0,3.0,0.05,1.9,1.15,0.3,36.0,8.0,10.01
634.0,29.0,61.0,1385.0,586.0,2.0,2.0,0.05,1.7,0.9,1.1,49.0,3.0,9.55
861.0,57.0,33.0,22.0,39.0,2.0,2.0,0.05,2.5,0.9,1.5,14.0,1.0,7.79
700.0,78.0,121.0,346.0,390.0,3.0,4.0,0.0,1.7,0.9,1.5,9.0,0.0,9.36
423.0,40.0,124.0,2799.0,289.0,6.0,3.0,0.171,1.5,1.15,0.3,35.0,10.0,15.06
249.0,27.0,95.0,671.0,664.0,3.0,0.0,0.171,2.5,1.15,1.1,10.0,2.0,9.19
423.0,51.0,110.0,1502.0,295.0,4.0,3.0,0.05,2.5,0.9,1.5,1.0,12.0,10.54
31.0,52.0,21.0,2050.0,728.0,0.0,4.0,0.0,1.7,0.9,0.72,28.0,2.0,6.33
425.0,21.0,10.0,2017.0,763.0,2.0,1.0,0.05,2.5,1.15,1.5,55.0,10.0,10.03
937.0,42.0,79.0,705.0,749.0,5.0,4.0,0.05,1.5,1.0,0.3,54.0,3.0,10.94
144.0,57.0,176.0,288.0,326.0,1.0,1.0,0.171,1.9,0.9,0.3,31.0,0.0,7.88
226.0,0.0,17.0,2552.0,775.0,0.0,0.0,0.1,1.7,1.0,1.1,50.0,4.0,8.87
168.0,2.0,29.0,2583.0,268.0,5.0,2.0,0.0,1.9,1.0,1.5,2.0,1.0,6.89
423.0,39.0,109.0,1763.0,257.0,2.0,3.0,0.192,1.7,1.0,1.1,45.0,9.0,13.44
465.0,31.0,73.0,657.0,626.0,1.0,3.0,0.1,2.5,1.15,0.3,46.0,1.0,10.13
337.0,17.0,32.0,131.0,823.0,0.0,1.0,0.0,2.5,1.15,1.5,8.0,12.0,7.86
654.0,18.0,90.0,1179.0,183.0,6.0,4.0,0.171,3.3,1.15,1.5,27.0,2.0,15.72
617.0,22.0,95.0,2840.0,289.0,1.0,3.0,0.192,1.5,1.0,1.1,33.0,4.0,15.93
829.0,37.0,142.0,79.0,531.0,0.0,4.0,0.1,2.5,1.0,0.72,37.0,3.0,11.88
288.0,42.0,51.0,311.0,827.0,2.0,2.0,0.192,1.5,1.0,1.5,16.0,1.0,7.93
522.0,16.0,63.0,1692.0,640.0,4.0,4.0,0.1,1.5,1.0,0.3,0.0,2.0,10.46
598.0,90.0,155.0,2335.0,172.0,5.0,4.0,0.192,1.5,1.0,1.5,29.0,10.0,15.68
936.0,47.0,11.0,645.0,474.0,4.0,2.0,0.05,1.5,0.9,1.1,1.0,2.0,7.39
893.0,10.0,83.0,314.0,423.0,3.0,0.0,0.05,1.5,0.9,1.1,52.0,2.0,9.49
320.0,34.0,72.0,165.0,525.0,2.0,1.0,0.05,1.7,1.15,1.1,25.0,2.0,7.3
801.0,89.0,6.0,2098.0,99.0,5.0,0.0,0.171,1.5,0.9,0.72,37.0,5.0,8.54
122.0,20.0,171.0,2263.0,103.0,5.0,3.0,0.171,1.9,0.9,1.5,26.0,0.0,14.7
210.0,40.0,12.0,1405.0,949.0,0.0,2.0,0.05,3.3,1.15,1.5,10.0,10.0,9.29
979.0,32.0,100.0,1481.0,290.0,6.0,4.0,0.1,1.7,1.15,0.72,48.0,7.0,13.81
470.0,12.0,131.0,650.0,193.0,6.0,0.0,0.05,2.5,1.15,0.3,35.0,7.0,9.72
359.0,67.0,82.0,1294.0,801.0,4.0,1.0,0.1,3.3,1.15,1.5,44.0,5.0,11.77
773.0,33.0,54.0,2908.0,568.0,2.0,2.0,0.1,1.7,1.0,0.72,33.0,4.0,11.84
321.0,97.0,69.0,1136.0,532.0,0.0,1.0,0.0,1.5,1.0,1.1,59.0,5.0,6.3
864.0,21.0,156.0,2275.0,756.0,3.0,1.0,0.1,1.9,1.15,1.5,56.0,2.0,15.12
597.0,10.0,134.0,157.0,657.0,6.0,4.0,0.171,1.7,0.9,1.5,56.0,7.0,13.29
979.0,0.0,123.0,2808.0,681.0,6.0,2.0,0.0,1.5,0.9,0.72,45.0,1.0,12.13
852.0,24.0,99.0,1397.0,452.0,0.0,2.0,0.05,2.5,1.15,0.72,53.0,11.0,11.92
989.0,37.0,171.0,174.0,270.0,4.0,0.0,0.1,1.9,1.15,0.3,30.0,2.0,10.06
537.0,24.0,194.0,2891.0,792.0,5.0,4.0,0.0,1.5,1.15,1.1,58.0,11.0,13.46
580.0,37.0,23.0,1169.0,811.0,3.0,2.0,0.0,1.7,1.0,1.1,59.0,9.0,8.47
607.0,91.0,85.0,1110.0,127.0,2.0,0.0,0.171,1.5,1.15,1.5,13.0,10.0,8.22
68.0,28.0,141.0,2192.0,875.0,0.0,0.0,0.05,3.3,1.0,1.1,28.0,5.0,10.02
690.0,58.0,32.0,2005.0,113.0,2.0,3.0,0.192,2.5,0.9,0.3,35.0,6.0,12.01
962.0,52.0,187.0,1342.0,139.0,4.0,0.0,0.05,1.9,1.0,0.3,5.0,6.0,9.47
948.0,20.0,81.0,2427.0,415.0,6.0,1.0,0.05,1.5,1.0,1.1,60.0,11.0,12.06
885.0,64.0,72.0,401.0,431.0,2.0,0.0,0.1,1.7,1.0,0.72,60.0,6.0,7.6
959.0,66.0,8.0,2118.0,545.0,2.0,2.0,0.05,3.3,1.0,0.3,18.0,12.0,8.95
762.0,84.0,183.0,848.0,59.0,0.0,4.0,0.0,3.3,0.9,1.1,32.0,0.0,11.19
916.0,87.0,114.0,1192.0,793.0,3.0,4.0,0.192,1.5,0.9,1.5,17.0,4.0,12.22
792.0,19.0,103.0,594.0,965.0,1.0,0.0,0.05,2.5,1.15,0.3,43.0,7.0,10.17
830.0,12.0,196.0,2527.0,362.0,6.0,3.0,0.192,1.5,1.15,1.5,18.0,7.0,19.38
388.0,54.0,194.0,646.0,972.0,3.0,3.0,0.171,2.5,1.0,0.72,27.0,11.0,12.84
386.0,28.0,72.0,1174.0,114.0,0.0,3.0,0.0,1.5,1.0,1.5,44.0,5.0,8.43
193.0,93.0,167.0,260.0,35.0,2.0,0.0,0.192,3.3,0.9,0.72,59.0,10.0,9.26
218.0,38.0,103.0,2809.0,871.0,6.0,0.0,0.192,1.7,1.0,0.3,21.0,1.0,13.09
933.0,6.0,29.0,445.0,569.0,2.0,4.0,0.0,1.7,1.0,1.1,38.0,10.0,11.18
202.0,51.0,160.0,1853.0,652.0,6.0,3.0,0.171,3.3,0.9,0.72,6.0,1.0,14.37
472.0,22.0,81.0,1863.0,946.0,5.0,1.0,0.1,1.7,1.15,0.3,32.0,5.0,10.47
182.0,62.0,64.0,1960.0,174.0,4.0,0.0,0.0,1.9,1.15,0.3,46.0,9.0,5.85
903.0,17.0,143.0,2289.0,188.0,5.0,0.0,0.171,1.9,1.0,1.1,31.0,0.0,15.11
508.0,94.0,87.0,2985.0,99.0,3.0,2.0,0.05,1.9,1.15,0.72,59.0,0.0,9.4
734.0,59.0,48.0,2159.0,638.0,4.0,0.0,0.05,1.9,1.15,0.3,28.0,6.0,7.78
897.0,28.0,95.0,181.0,801.0,5.0,3.0,0.192,2.5,1.15,1.5,55.0,5.0,13.76
456.0,64.0,38.0,2312.0,631.0,2.0,1.0,0.171,1.9,1.0,1.5,40.0,12.0,12.03
961.0,71.0,74.0,1275.0,629.0,5.0,1.0,0.1,1.9,0.9,1.1,29.0,5.0,9.49
532.0,21.0,120.0,1049.0,131.0,2.0,0.0,0.192,1.7,1.0,0.3,45.0,2.0,9.84
895.0,73.0,54.0,332.0,99.0,6.0,4.0,0.1,1.5,0.9,0.3,24.0,3.0,8.02
328.0,53.0,37.0,2183.0,761.0,1.0,3.0,0.171,3.3,0.9,1.5,21.0,10.0,13.52
478.0,81.0,29.0,820.0,248.0,2.0,1.0,0.05,1.5,1.15,1.1,50.0,9.0,6.54
149.0,7.0,84.0,720.0,782.0,4.0,3.0,0.1,1.5,1.15,0.3,27.0,5.0,8.77
821.0,27.0,48.0,1082.0,181.0,1.0,1.0,0.05,1.9,1.0,0.72,43.0,3.0,8.53
910.0,75.0,35.0,550.0,273.0,2.0,0.0,0.05,1.5,1.0,1.1,18.0,11.0,5.67
369.0,90.0,47.0,2290.0,59.0,6.0,1.0,0.1,1.9,1.0,1.1,1.0,11.0,8.6
624.0,100.0,94.0,1323.0,890.0,5.0,4.0,0.192,1.9,1.15,0.72,28.0,9.0,12.39
81.0,71.0,3.0,1432.0,469.0,3.0,2.0,0.1,1.9,1.0,1.1,46.0,7.0,7.98
643.0,84.0,198.0,2139.0,225.0,1.0,3.0,0.0,1.5,1.15,1.5,60.0,8.0,10.95
